id,id_usuario,id_universidad,id_grado_academico,titulo_profesional,especialidad,fecha_emision,resolucion,fecha_resolucion,flag_resolucion_nulidad,nro_resolucion_nulidad,fecha_resolucion_nulidad,id_tipo_obtencion
186,50,1,2,INGENIERO TOPOGRAFO Y AGRIMENSOR,-,2005-01-04,1129-2005-P-CTG-UN,,,,,2
187,50,1,1,BACHILLER EN CIENCIAS DE LA INGENIERIA TOPOGRAFICA Y AGRIMENSURA,-,2004-11-05,235-2004-B-CTG-UNA,,,,,2
188,52,1,2,ING. TOPOGRAFO Y AGRIMENSOR,-,2002-01-18,0073-2002-R-UNA,,,,,2
189,52,1,1,BACHILLER EN CIENCIAS DE LA INGENIERIA TOPOGRAFICA Y AGRIMENSURA,-,1998-12-04,2175-98-R-UNA,,,,,2
190,52,1,2,INGENIERO TOPOGRAFO Y AGRIMENSOR,-,2002-01-18,0073-2002-R-UNA,,,,,2
191,52,13,1,BACHILLER EN INGENIERIA CIVIL,-,2011-09-30,8730-2011-R-UAP,,,,,2
192,52,1,3,Magíster Scientiae en Ordenamiento Territorial y Medio Ambiente,-,2023-11-30,3149-2023-R-UNA,,,,,2
193,53,1,2,INGENIERO AGRONOMO,-,1995-12-29,1934-95-R-UNA,,,,,2
194,53,1,3,MAGISTER SCIENTIAE EN ORDENAMIENTO TERRITORIAL Y MEDIO AMBIENTE,-,2011-09-02,1750-2011-R-UNA,,,,,2
195,53,13,2,INGENIERO CIVIL,-,2005-07-26,3178-2005-R-UAP,,,,,2
196,53,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1975-03-04,-,,,,,2
197,53,19,1,BACHILLER EN INGENIERIA CIVIL,-,2002-04-10,256-2002-CU-R-UANCV,,,,,2
198,53,1,4,"Doctoris Scientiae en Ciencia, Tecnología y Medio Ambiente",-,2024-12-20,3643-2024-R-UNA,,,,,2
199,51,1,3,MAGISTER SCIENTIAE EN AGROECOLOGIA,-,2010-10-15,2204-2010-R-UNA,,,,,2
200,51,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1973-10-15,-,,,,,2
201,51,1,2,INGENIERO AGRONOMO,-,1976-09-22,-,,,,,2
202,51,1,4,"Doctoris Scientiae en Ciencia, Tecnología y Medio Ambiente",-,2025-07-08,2065-2025-R-UNA,,,,,2
203,54,1,3,MAGISTER SCIENTIAE EN: ORDENAMIENTO TERRITORIAL Y MEDIO AMBIENTE,-,2011-09-16,1936-2011-R-UNA,,,,,2
204,54,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1976-12-07,-,,,,,2
205,54,1,2,TOPOGRAFO Y AGRIMENSOR,-,1982-08-09,-,,,,,2
206,54,1,2,INGENIERO AGRONOMO,-,1977-04-07,-,,,,,2
207,54,1,4,"Doctoris Scientiae en Ciencia, Tecnología y Medio Ambiente",-,2023-11-10,2958-2023-R-UNA,,,,,2
208,56,1,2,TOPOGRAFO AGRIMENSOR,-,1981-05-29,-,,,,,2
209,56,1,2,INGENIERO AGRONOMO,-,1982-07-16,-,,,,,2
210,56,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1980-12-05,-,,,,,2
211,56,1,3,MAGISTER SCIENTIAE EN ORDENAMIENTO TERRITORIAL Y MEDIO AMBIENTE,-,2009-07-03,0999-2009-R-UNA,,,,,2
212,55,6,1,BACHILLER EN INGENIERIA CIVIL,-,2010-05-28,245-2010-CU-UJCM,,,,,2
213,55,1,2,INGENIERO TOPOGRAFO Y AGRIMENSOR,-,2001-01-26,0058-2001-R-UNA,,,,,2
214,55,1,1,BACHILLER EN CIENCIAS DE LA INGENIERIA TOPOGRAFICA Y AGRIMENSURA,-,1999-04-16,0598-99-R-UNA,,,,,2
215,55,1,3,MAGISTER SCIENTIAE EN: ORDENAMIENTO TERRITORIAL Y MEDIO AMBIENTE,-,2015-01-30,0245-2015-R-UNA,,,,,2
216,55,1,4,"Doctoris Scientiae en: Ciencia, Tecnología y Medio Ambiente",-,2017-04-26,1266-2017-R-UNA,,,,,2
217,55,6,2,INGENIERO CIVIL,-,2013-05-24,649-2013-CU-UJCM,,,,,2
218,57,13,1,BACHILLER EN INGENIERIA CIVIL,-,2011-08-19,8555-2011-R-UAP,,,,,2
219,57,1,2,INGENIERO TOPOGRAFO Y AGRIMENSOR,-,2006-09-29,2002-2006-R-UNA,,,,,2
220,57,1,1,BACHILLER EN CIENCIAS DE LA INGENIERIA TOPOGRAFICA Y AGRIMENSURA,-,2004-11-05,235-2004-P-CTG-UNA,,,,,2
221,57,13,2,INGENIERO CIVIL,-,2012-03-02,9214-2012-R-UAP,,,,,2
222,57,10,3,MAESTRO EN CIENCIAS CON MENCIÓN EN PLANIFICACIÓN EN ORDENAMIENTO TERRITORIAL Y DESARROLLO URBANO,-,2025-06-13,U.G.T. N° 008-2025,,,,,2
223,58,6,1,BACHILLER EN INGENIERIA CIVIL,-,2009-09-07,869-2009-CU-UJCM,,,,,2
224,58,1,2,INGENERIO TOPOGRAFO Y AGRIMENSOR,-,2004-01-16,0071-2004-R-UNA,,,,,2
225,58,6,2,INGENIERO CIVIL,-,2015-01-28,140-2015-CU-UJCM,,,,,2
226,58,1,1,Bachiller en Ciencias de la Ingeniería Topográfica y Agrimensura,-,1998-12-04,2175-98-R-UNA,,,,,2
227,58,19,3,"MAGISTER EN INGENIERÍA CIVIL, MENCIÓN: DISEÑO Y CONSTRUCCIONES",-,2024-05-20,0156-2024-UANCV-CU-R,,,,,2
228,59,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1973-02-14,-,,,,,2
229,59,1,3,MAGISTER SCIENTIAE EN INFORMATICA,-,2007-05-04,0749-2007-R-UNA,,,,,2
230,59,13,2,INGENIERO CIVIL,-,2005-07-26,3160-2005-R-UAP,,,,,2
231,59,19,1,BACHILLER EN INGENIERIA CIVIL,-,2004-05-28,069-04-CU-R,,,,,2
232,59,2,3,MAGISTER SCIENTIAE,-,1984-11-08,44745,,,,,2
233,59,1,2,INGENIERO AGRONOMO,-,1973-07-11,-,,,,,2
234,61,1,3,MAGISTER SCIENTIAE EN SALUD ANIMAL,-,2013-05-15,1514-2013-R-UNA,,,,,2
